Vreme : 9/3/2023 6:20:09 PM , Vrednost : 8.91006524188368 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:10 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:10 PM , Vrednost : 8.66025403784439 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:11 PM , Vrednost : 8.38670567945424 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:12 PM , Vrednost : 8.09016994374947 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:50 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:51 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:52 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:53 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:54 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:55 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:56 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:57 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:58 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:59 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:00 PM , Vrednost : 10 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:00 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:01 PM , Vrednost : 9.98629534754574 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:01 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:02 PM , Vrednost : 9.94521895368273 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:02 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:03 PM , Vrednost : 9.87688340595138 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:03 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:04 PM , Vrednost : 9.78147600733806 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:04 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:05 PM , Vrednost : 9.65925826289068 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:05 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:21:06 PM , Vrednost : 9.51056516295153 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:21:06 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
